0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,Cluster Index
266.035517145,1936.81504855,645.781234305,15563.0515824,8954.07702931,72.2770771734,13940.8593811,1638.31286574,3314.5999919,1150.29954363,104.600860486,1287.03203941,1233.27257012,5370.52934425,2191.05637283,454.029566314,77.872623019,773.881138154,2747.60579511,304.591417627,219.403805436,2963.0131252,2315.21748062,8811.50059357,1021.70675431,185.674589425,477.988447097,2807.57126815,165.058004091,1672.81384469,812.676001866,2981.70331839,29.5234870481,174.260452107,1601.75398409,32
1014.58639442,1185.74934003,105.85188681,14813.2165948,8205.07616908,680.055504933,13395.5510856,1268.139139,2563.81882451,761.968510249,852.695864254,536.023608328,624.502577738,4620.86015482,1468.53602199,298.476998866,805.114356589,550.421994879,1996.81661476,446.706622,968.258696774,2531.15050846,1565.36734707,8061.18343884,271.435863054,567.340736785,436.490168536,2134.66575403,914.021475409,1046.03598357,64.9105532421,2230.6761712,769.59862676,668.689585788,851.484893745,30
2291.8941645,327.034412486,1394.12896714,13589.9257962,6938.00525166,1957.7576855,12299.0130557,1299.84453014,1371.92646809,1212.16060833,2129.99794633,777.341771978,890.655026704,3418.14120246,218.030296384,1584.35288745,2069.13607847,1442.81508419,837.990219387,1727.51556342,2245.27212406,1951.50150099,528.070859508,6838.01994099,1037.32985357,1848.3202217,1601.14532292,966.922746878,2190.90031534,634.873570025,1235.7908648,1039.43000074,2047.56969361,1910.92742482,545.864536231,14
176.589608998,2024.8532409,733.733352747,15650.0117667,9043.01492942,159.186846909,14016.9564648,1709.29123553,3402.22346704,1228.33472428,16.7149622613,1375.24146111,1320.54016795,5457.50225004,2280.48060507,541.497965274,82.6088311005,851.257748983,2835.25863998,392.528824049,129.953429162,3032.44670037,2402.44034994,8898.74047144,1109.44693387,272.298920433,561.700373589,2895.10480934,75.5833360952,1759.41615945,900.410469448,3069.59938216,70.1864249499,245.524904499,1689.26388471,10
176.589609545,2024.85324107,733.733353148,15650.0117667,9043.01492945,159.186849063,14016.9564664,1709.29123619,3402.22346723,1228.33472499,16.7149769731,1375.24146125,1320.54016826,5457.50225,2280.48060529,541.497968117,82.6088402218,851.257751292,2835.25864004,392.528825012,129.953431284,3032.44670048,2402.44034997,8898.74047141,1109.44693404,272.29892072,561.700375696,2895.10480943,75.5833393246,1759.41615977,900.410469881,3069.59938215,70.1864282303,245.524906742,1689.26388469,10
37.6616307947,2163.17369147,872.180088788,15787.0014311,9182.06986042,298.04901892,14131.4123177,1818.86769497,3540.06391029,1349.06068184,125.190920807,1513.76992675,1455.14918611,5594.57321677,2419.13922689,679.697499889,196.999175211,972.359087835,2973.150855,531.193049949,10.2180330629,3138.47921634,2539.90528313,9036.07978228,1247.59942542,410.496498998,692.615440848,3029.79835327,63.9241660803,1892.73117916,1038.61840367,3207.7314865,208.259001351,369.735929609,1827.09521696,20
94.0952177401,2106.10396301,815.418758783,15729.0096445,9125.93602779,242.565897534,14098.2072661,1787.4745265,3482.57814639,1311.49705821,71.0896306042,1456.96076579,1407.3392633,5536.64313764,2366.35124135,622.794096919,157.847879279,934.38086565,2915.71392517,474.894686134,49.5591165123,3108.47586405,2482.21976205,8978.26672983,1190.47616081,353.908468135,647.79559779,2981.92573474,20.4322346724,1846.11823948,981.581647128,3150.46773856,152.707627751,328.689853575,1769.67084368,28
31.8843750296,2168.43677977,877.496416255,15792.0034519,9187.53485337,303.529262295,14137.7858298,1825.18358774,3545.22298909,1355.48308522,130.661428886,1519.0878972,1461.36052056,5599.59498829,2425.03042444,684.975731433,203.3544046,978.778686779,2978.32232151,536.582429978,15.3636172681,3144.64977013,2545.00335011,9041.1424235,1252.84179025,415.816642492,698.92658267,3036.01844307,69.4846767854,1899.00251173,1043.87816724,3212.94917091,213.680852138,376.113213508,1832.26530261,20
1314.91767521,996.446814616,490.438035585,14590.1646491,7939.27123621,988.724427256,12987.2592288,921.210288156,2351.8728531,441.854416516,1156.01963473,432.093113773,211.300237717,4409.82327039,1148.60805905,649.560044621,1085.05066055,466.450763658,1792.8521413,772.576319472,1268.73877469,2162.08999706,1386.15828641,7837.40856917,356.145283117,887.743889371,601.794584595,1760.82509205,1215.20559751,643.086464486,398.382206933,2015.49258519,1076.32718551,919.888432591,715.232806753,12
732.004498393,1467.99722745,179.482997135,15092.0160939,8489.28662118,399.404874428,13627.6029643,1407.96491035,2844.49930295,890.903523169,570.839399066,819.355924186,852.464065247,4899.50070224,1749.30687446,26.0092656667,531.04372616,573.182895558,2277.59140461,168.445945603,685.963948925,2709.4655601,1844.46658757,8340.75214318,552.391997687,285.874835866,311.248090104,2401.52471307,632.024973355,1290.39494675,343.750356066,2512.27428087,487.958340367,415.738830049,1131.5357257,15
